Plant_Code,Site,Treatment_Code,Black,julDate,Month,Day,BranchTempF(orig),BranchTempC
B15,B,55,1,94,Apr,3,72,22.2
B16,B,56,0,94,Apr,3,76,24.4
B16,B,56,0,94,Apr,3,75,23.9
B16,B,56,0,94,Apr,3,73,22.8
B17,B,56,0,94,Apr,3,74,23.3
B17,B,56,0,94,Apr,3,74,23.3
B17,B,56,0,94,Apr,3,73,22.8
B18,B,56,0,94,Apr,3,76,24.4
B18,B,56,0,94,Apr,3,74,23.3
B18,B,56,0,94,Apr,3,74,23.3
B19,B,57,1,94,Apr,3,79,26.1
B19,B,57,1,94,Apr,3,78,25.6
B19,B,57,1,94,Apr,3,78,25.6
B20,B,57,1,94,Apr,3,78,25.6
B20,B,57,1,94,Apr,3,78,25.6
B20,B,57,1,94,Apr,3,77,25
B21,B,57,1,94,Apr,3,77,25
B21,B,57,1,94,Apr,3,76,24.4
B21,B,57,1,94,Apr,3,74,23.3
A01,A,51,1,109,Apr,18,78,25.6
A01,A,51,1,109,Apr,18,67,19.4
A01,A,51,1,109,Apr,18,67,19.4
A02,A,51,1,109,Apr,18,69,20.6
A02,A,51,1,109,Apr,18,69,20.6
A02,A,51,1,109,Apr,18,69,20.6
A03,A,51,1,109,Apr,18,75,23.9
A03,A,51,1,109,Apr,18,74,23.3
A03,A,51,1,109,Apr,18,74,23.3
A04,A,52,1,109,Apr,18,75,23.9
A04,A,52,1,109,Apr,18,73,22.8
A04,A,52,1,109,Apr,18,70,21.1
A05,A,52,1,109,Apr,18,78,25.6
A05,A,52,1,109,Apr,18,78,25.6
A05,A,52,1,109,Apr,18,71,21.7
A06,A,52,1,109,Apr,18,72,22.2
A06,A,52,1,109,Apr,18,70,21.1
A06,A,52,1,109,Apr,18,69,20.6
A07,A,53,0,109,Apr,18,72,22.2
A07,A,53,0,109,Apr,18,70,21.1
A07,A,53,0,109,Apr,18,66,18.9
A08,A,53,0,109,Apr,18,76,24.4
A08,A,53,0,109,Apr,18,71,21.7
A08,A,53,0,109,Apr,18,70,21.1
A09,A,53,0,109,Apr,18,73,22.8
A09,A,53,0,109,Apr,18,73,22.8
A09,A,53,0,109,Apr,18,73,22.8
A10,A,54,0,109,Apr,18,74,23.3
A10,A,54,0,109,Apr,18,68,20
A10,A,54,0,109,Apr,18,68,20
A11,A,54,0,109,Apr,18,71,21.7
A11,A,54,0,109,Apr,18,71,21.7
A11,A,54,0,109,Apr,18,69,20.6
A12,A,54,0,109,Apr,18,71,21.7
A12,A,54,0,109,Apr,18,71,21.7
A12,A,54,0,109,Apr,18,70,21.1
A13,A,55,1,109,Apr,18,72,22.2
A13,A,55,1,109,Apr,18,72,22.2
A13,A,55,1,109,Apr,18,71,21.7
A14,A,55,1,109,Apr,18,74,23.3
A14,A,55,1,109,Apr,18,74,23.3
A14,A,55,1,109,Apr,18,74,23.3
A15,A,55,1,109,Apr,18,78,25.6
A15,A,55,1,109,Apr,18,75,23.9
A15,A,55,1,109,Apr,18,68,20
A16,A,56,0,109,Apr,18,75,23.9
A16,A,56,0,109,Apr,18,74,23.3
A16,A,56,0,109,Apr,18,71,21.7
A17,A,56,0,109,Apr,18,68,20
A17,A,56,0,109,Apr,18,66,18.9
A17,A,56,0,109,Apr,18,66,18.9
A18,A,56,0,109,Apr,18,73,22.8
A18,A,56,0,109,Apr,18,72,22.2
A18,A,56,0,109,Apr,18,69,20.6
A19,A,57,1,109,Apr,18,73,22.8
A19,A,57,1,109,Apr,18,72,22.2
A19,A,57,1,109,Apr,18,70,21.1
A20,A,57,1,109,Apr,18,97,36.1
A20,A,57,1,109,Apr,18,82,27.8
A20,A,57,1,109,Apr,18,80,26.7
A21,A,57,1,109,Apr,18,75,23.9
A21,A,57,1,109,Apr,18,71,21.7
A21,A,57,1,109,Apr,18,68,20
C01,C,51,1,110,Apr,19,83,28.3
C01,C,51,1,110,Apr,19,82,27.8
C01,C,51,1,110,Apr,19,79,26.1
C02,C,51,1,110,Apr,19,80,26.7
C02,C,51,1,110,Apr,19,80,26.7
C02,C,51,1,110,Apr,19,79,26.1
C03,C,51,1,110,Apr,19,79,26.1
C03,C,51,1,110,Apr,19,78,25.6
C03,C,51,1,110,Apr,19,76,24.4
C04,C,52,1,110,Apr,19,81,27.2
C04,C,52,1,110,Apr,19,77,25
C04,C,52,1,110,Apr,19,77,25
C05,C,52,1,110,Apr,19,90,32.2
C05,C,52,1,110,Apr,19,80,26.7
C05,C,52,1,110,Apr,19,78,25.6
C06,C,52,1,110,Apr,19,75,23.9
C06,C,52,1,110,Apr,19,73,22.8
C06,C,52,1,110,Apr,19,72,22.2
C07,C,53,0,110,Apr,19,80,26.7
C07,C,53,0,110,Apr,19,74,23.3
C07,C,53,0,110,Apr,19,72,22.2
C08,C,53,0,110,Apr,19,77,25
C08,C,53,0,110,Apr,19,75,23.9
C08,C,53,0,110,Apr,19,75,23.9
C09,C,53,0,110,Apr,19,72,22.2
C09,C,53,0,110,Apr,19,71,21.7
C09,C,53,0,110,Apr,19,69,20.6
C10,C,54,0,110,Apr,19,78,25.6
C10,C,54,0,110,Apr,19,76,24.4
C10,C,54,0,110,Apr,19,75,23.9
C11,C,54,0,110,Apr,19,79,26.1
C11,C,54,0,110,Apr,19,78,25.6
C11,C,54,0,110,Apr,19,77,25
C12,C,54,0,110,Apr,19,88,31.1
C12,C,54,0,110,Apr,19,87,30.6
C12,C,54,0,110,Apr,19,82,27.8
C13,C,55,1,110,Apr,19,82,27.8
C13,C,55,1,110,Apr,19,81,27.2
C13,C,55,1,110,Apr,19,77,25
C14,C,55,1,110,Apr,19,83,28.3
C14,C,55,1,110,Apr,19,82,27.8
C14,C,55,1,110,Apr,19,82,27.8
C15,C,55,1,110,Apr,19,86,30
C15,C,55,1,110,Apr,19,78,25.6
C15,C,55,1,110,Apr,19,74,23.3
C16,C,56,0,110,Apr,19,79,26.1
C16,C,56,0,110,Apr,19,76,24.4
C16,C,56,0,110,Apr,19,75,23.9
C17,C,56,0,110,Apr,19,79,26.1
C17,C,56,0,110,Apr,19,78,25.6
C17,C,56,0,110,Apr,19,78,25.6
C18,C,56,0,110,Apr,19,77,25
C18,C,56,0,110,Apr,19,75,23.9
C18,C,56,0,110,Apr,19,74,23.3
C19,C,57,1,110,Apr,19,84,28.9
C19,C,57,1,110,Apr,19,82,27.8
C19,C,57,1,110,Apr,19,82,27.8
C20,C,57,1,110,Apr,19,87,30.6
C20,C,57,1,110,Apr,19,86,30
C20,C,57,1,110,Apr,19,84,28.9
C21,C,57,1,110,Apr,19,86,30
C21,C,57,1,110,Apr,19,78,25.6
C21,C,57,1,110,Apr,19,78,25.6
B01,B,51,1,115,Apr,24,80,26.7
B01,B,51,1,115,Apr,24,79,26.1
B01,B,51,1,115,Apr,24,78,25.6
B02,B,51,1,115,Apr,24,79,26.1
B02,B,51,1,115,Apr,24,79,26.1
B02,B,51,1,115,Apr,24,78,25.6
B03,B,51,1,115,Apr,24,77,25
B03,B,51,1,115,Apr,24,77,25
B03,B,51,1,115,Apr,24,77,25
B04,B,52,1,115,Apr,24,74,23.3
B04,B,52,1,115,Apr,24,74,23.3
B04,B,52,1,115,Apr,24,74,23.3
B05,B,52,1,115,Apr,24,79,26.1
B05,B,52,1,115,Apr,24,78,25.6
B05,B,52,1,115,Apr,24,78,25.6
B06,B,52,1,115,Apr,24,81,27.2
B06,B,52,1,115,Apr,24,79,26.1
B06,B,52,1,115,Apr,24,77,25
B07,B,53,0,115,Apr,24,88,31.1
B07,B,53,0,115,Apr,24,85,29.4
B07,B,53,0,115,Apr,24,83,28.3
B08,B,53,0,115,Apr,24,87,30.6
B08,B,53,0,115,Apr,24,86,30
B08,B,53,0,115,Apr,24,86,30
B09,B,53,0,115,Apr,24,78,25.6
B09,B,53,0,115,Apr,24,77,25
B09,B,53,0,115,Apr,24,75,23.9
B10,B,54,0,115,Apr,24,83,28.3
B10,B,54,0,115,Apr,24,80,26.7
B10,B,54,0,115,Apr,24,79,26.1
B11,B,54,0,115,Apr,24,83,28.3
B11,B,54,0,115,Apr,24,82,27.8
B11,B,54,0,115,Apr,24,76,24.4
B12,B,54,0,115,Apr,24,82,27.8
B12,B,54,0,115,Apr,24,81,27.2
B12,B,54,0,115,Apr,24,80,26.7
B13,B,55,1,115,Apr,24,87,30.6
B13,B,55,1,115,Apr,24,85,29.4
B13,B,55,1,115,Apr,24,83,28.3
B14,B,55,1,115,Apr,24,82,27.8
B14,B,55,1,115,Apr,24,79,26.1
B14,B,55,1,115,Apr,24,76,24.4
B15,B,55,1,115,Apr,24,86,30
